Lat,Lon,LatWGS84,LonWGS84,LocationName,StationID,ObsTime,ELEV,WDIR,WDSD,Temp,HUMD,PRES,H24R,H_FX,H_XD,D_TX,D_TN,City,CitySn,Town,TownSn,InfoTime,InfoDate
23.647817,120.4234,23.64606389,120.431525,大埤,C0K450,2021/12/14 18:00,35,19,2.7,20.6,0.79,1011.4,0,,,26,14.5,雲林縣,16,大埤鄉,199,2021/12/14 18:00,2021/12/14
23.684706,121.519219,23.68294722,121.5274,加路蘭山,C0T9H0,2021/12/14 5:00,725,13,4.3,14,1,937.3,0,,,14,13.5,花蓮縣,21,豐濱鄉,188,2021/12/14 5:00,2021/12/14
23.401778,119.314667,23.40006944,119.3227611,花嶼,C0W130,2021/12/14 4:00,18,7,6.2,19.7,0.83,1015.5,0,15.5,15,20.2,19.5,澎湖縣,23,望安鄉,231,2021/12/14 4:00,2021/12/14
24.023903,121.124056,24.02212222,121.1322056,仁愛,C0I390,2021/12/14 7:00,1184,94,2.3,9.4,0.95,890.7,0,,,11.5,9.2,南投縣,13,仁愛鄉,122,2021/12/14 7:00,2021/12/14
22.432239,120.885742,22.43043889,120.8938,勝林山,C0S980,2021/12/14 5:00,901,307,1.4,12.9,0.98,916.7,0,,,13.4,12.8,臺東縣,22,達仁鄉,337,2021/12/14 5:00,2021/12/14
22.487694,120.494694,22.48591111,120.5027361,南州,C0R580,2021/12/14 10:00,10,0,0,23,0.78,1018.6,0,,,23,17,屏東縣,20,南州鄉,338,2021/12/14 10:00,2021/12/14
24.415731,121.775067,24.413925,121.7832472,樟樹山,C0UA60,2021/12/14 0:00,566,266,1.1,14.3,1,956.6,4.5,,,18.4,13.7,宜蘭縣,7,南澳鄉,93,2021/12/14 0:00,2021/12/14
22.432239,120.885742,22.43043889,120.8938,勝林山,C0S980,2021/12/14 8:00,901,297,1.5,13.8,0.95,918.1,0,,,14,12.8,臺東縣,22,達仁鄉,337,2021/12/14 8:00,2021/12/14
25.117336,121.504825,25.11559722,121.5131389,石牌,C0AI40,2021/12/14 16:00,37,87,1.3,23.5,0.64,1013.3,0,8.8,55,23.5,18.6,臺北市,1,北投區,6,2021/12/14 16:00,2021/12/14
23.288611,121.403889,23.28681667,121.411975,長濱,C0S830,2021/12/14 9:00,288,255,0.6,19.2,0.81,990.2,0,,,19.5,17.8,臺東縣,22,長濱鄉,227,2021/12/14 9:00,2021/12/14
23.703283,120.189422,23.70154444,120.1975472,臺西,C0K530,2021/12/14 18:00,12,25,2.9,20.3,0.89,1015,0,11.2,5,22.9,15.4,雲林縣,16,臺西鄉,187,2021/12/14 18:00,2021/12/14
24.277822,120.769478,24.27606111,120.7776444,石岡,C0F0B0,2021/12/14 9:00,311,119,0.6,19.9,0.67,984.4,0,,,19.9,13,臺中市,2,石岡區,116,2021/12/14 9:00,2021/12/14
22.888889,120.236444,22.88713889,120.2445,湖內,C0V640,2021/12/14 9:00,35,36,2.2,19.7,0.82,1016.1,0,,,19.7,15.7,高雄市,5,湖內區,285,2021/12/14 9:00,2021/12/14
25.167694,121.62475,25.16591389,121.6329694,大坪,C0A860,2021/12/14 5:00,362,36,2.2,14.6,1,979.1,3.5,,,14.7,14.1,新北市,6,萬里區,5,2021/12/14 5:00,2021/12/14
22.48,120.935278,22.478475,120.943325,大溪山,C0S770,2021/12/14 5:00,375,338,0.7,18.2,0.75,975.8,0,,,18.3,17.6,臺東縣,22,太麻里鄉,312,2021/12/14 5:00,2021/12/14
24.434519,121.295628,24.43273889,121.3038083,桃山A,C0F9Y0,2021/12/14 12:00,3313,219,3,4.3,0.84,687.4,0.5,9.9,218,6.2,-1.4,臺中市,2,和平區,104,2021/12/14 12:00,2021/12/14
24.275269,120.939447,24.27350278,120.9476167,烏石坑,C0FA00,2021/12/14 12:00,983,354,0.9,21.8,0.48,910,0,,,22.1,13.2,臺中市,2,和平區,104,2021/12/14 12:00,2021/12/14
23.081667,120.5825,23.08010556,120.5917583,甲仙,C0V250,2021/12/14 13:00,298,347,0.9,26.3,0.59,981.5,0,,,26.6,14,高雄市,5,甲仙區,251,2021/12/14 13:00,2021/12/14
24.608056,120.775556,24.60648889,120.7839333,後龍,C0E540,2021/12/14 1:00,32,0,0,14.6,0.9,1016.1,0,,,15.3,14.6,苗栗縣,11,後龍鎮,91,2021/12/14 1:00,2021/12/14
