Lat,Lon,LatWGS84,LonWGS84,LocationName,StationID,ObsTime,ELEV,WDIR,WDSD,Temp,HUMD,PRES,H24R,H_FX,H_XD,D_TX,D_TN,City,CitySn,Town,TownSn,InfoTime,InfoDate
23.460653,120.145722,23.45891111,120.1538306,東石,C0M710,2021/12/18 8:00,15,11,5.6,15.3,0.62,1019.9,0,13,2,16,14.9,嘉義縣,17,東石鄉,216,2021/12/18 8:00,2021/12/18
24.473639,120.696444,24.47189167,120.7046222,通霄,C0E590,2021/12/18 17:00,40,23,1.7,15.2,0.69,1016.2,0,8.8,89,19.3,13.8,苗栗縣,11,通霄鎮,98,2021/12/18 17:00,2021/12/18
22.545194,120.4535,22.5434,120.4615583,新園,C0R560,2021/12/18 7:00,22,318,1.9,16.4,0.75,1018.4,0,,,17.3,16.1,屏東縣,20,新園鄉,333,2021/12/18 7:00,2021/12/18
23.150164,120.625189,23.14840833,120.63325,小林,C0V820,2021/12/18 1:00,441,32,1.1,18,0.91,969.2,0,,,18.2,17.9,高雄市,5,甲仙區,251,2021/12/18 1:00,2021/12/18
24.439167,121.373333,24.43741944,121.3816694,南山,C0U720,2021/12/18 7:00,1260,52,0.9,5.2,1,896.8,3,,,6.3,5,宜蘭縣,7,大同鄉,81,2021/12/18 7:00,2021/12/18
23.25,120.978056,23.24839722,120.9861333,向陽,C0S750,2021/12/18 15:00,2280,133,0.4,5.3,1,774.7,0,,,6.7,2.1,臺東縣,22,海端鄉,240,2021/12/18 15:00,2021/12/18
24.076944,120.422222,24.0753,120.4304806,鹿港,C0G640,2021/12/18 10:00,17,23,5.8,16.6,0.57,1022.1,0,12.8,32,16.6,14.4,彰化縣,14,鹿港鎮,140,2021/12/18 10:00,2021/12/18
24.923619,121.536533,24.92183611,121.544725,屈尺,C0AI10,2021/12/18 21:00,76,185,1.2,14.2,0.87,1016.8,0,,,15.4,12.4,新北市,6,新店區,50,2021/12/18 21:00,2021/12/18
24.578356,121.487153,24.57653333,121.4953333,土場,C0UA00,2021/12/18 1:00,392,330,1.7,10.7,0.92,982,0,,,10.9,10.7,宜蘭縣,7,大同鄉,81,2021/12/18 1:00,2021/12/18
24.871833,121.213194,24.87005556,121.2213889,龍潭,C0C670,2021/12/18 13:00,250,34,4.7,14.6,0.66,995.1,0,13.7,61,15,11.9,桃園市,8,龍潭區,62,2021/12/18 13:00,2021/12/18
24.688722,121.790222,24.68636944,121.7979444,五結,C0U780,2021/12/18 10:00,15,265,2.2,12.7,0.87,1027.3,0.5,,,14.5,12.4,宜蘭縣,7,五結鄉,82,2021/12/18 10:00,2021/12/18
24.383461,121.412122,24.381675,121.4203,審馬陣A,C0F0D0,2021/12/18 16:00,3171,150,6.1,4.7,0.63,697,0,11.9,161,8.6,-1,臺中市,2,和平區,104,2021/12/18 16:00,2021/12/18
22.900556,120.511111,22.89874167,120.5191528,美濃,C0V310,2021/12/18 13:00,46,291,1.4,21.9,0.64,1013.8,0,,,22,16.2,高雄市,5,美濃區,282,2021/12/18 13:00,2021/12/18
25.117336,121.504825,25.11559722,121.5131389,石牌,C0AI40,2021/12/18 3:00,37,80,3.1,14.3,0.61,1023,0,9.9,90,15.5,14.2,臺北市,1,北投區,6,2021/12/18 3:00,2021/12/18
