H_FX,H_XD,StationID,InfoTime
13,18,C0W120,2021/12/12 0:00
11.2,52,C0R350,2021/12/12 0:00
7.4,6,C0F0E0,2021/12/12 0:00
8,8,C0G900,2021/12/12 0:00
9.3,70,C0R670,2021/12/12 0:00
8.9,106,C0R740,2021/12/12 0:00
11.6,29,C0W130,2021/12/12 0:00
8.8,32,C0G900,2021/12/12 1:00
7.5,72,C0R770,2021/12/12 1:00
12,35,C0W130,2021/12/12 1:00
9.6,45,C0R620,2021/12/12 1:00
9.6,55,C0R350,2021/12/12 1:00
10.3,105,C0R740,2021/12/12 1:00
11,4,C0AI20,2021/12/12 1:00
7.9,65,C0AD00,2021/12/12 1:00
5.5,103,C0A570,2021/12/12 1:00
11.8,73,C0R670,2021/12/12 1:00
8.2,246,C0AI10,2021/12/12 1:00
13.5,92,C0R750,2021/12/12 1:00
8.3,22,C0C590,2021/12/12 1:00
9,20,C0C590,2021/12/12 2:00
11.3,28,C0W130,2021/12/12 2:00
13.6,12,C0W120,2021/12/12 2:00
9.1,80,C0R670,2021/12/12 2:00
7.9,21,C0G900,2021/12/12 2:00
9.8,43,C0R350,2021/12/12 2:00
9.7,57,C0R720,2021/12/12 2:00
7.2,230,C0S910,2021/12/12 2:00
8.8,33,C0C690,2021/12/12 2:00
7.8,51,C0C540,2021/12/12 2:00
10,135,C0R800,2021/12/12 2:00
9.5,43,C0R620,2021/12/12 2:00
7.8,19,C0E540,2021/12/12 2:00
8.4,59,C0R730,2021/12/12 2:00
9.3,103,C0R740,2021/12/12 2:00
10.2,67,C0R830,2021/12/12 2:00
11.7,15,C0W170,2021/12/12 2:00
6.7,49,C0E540,2021/12/12 3:00
7.1,13,C0A920,2021/12/12 3:00
9.5,28,C0R350,2021/12/12 3:00
8.4,103,C0R740,2021/12/12 3:00
6.4,167,C0S910,2021/12/12 3:00
8.6,37,C0AD00,2021/12/12 3:00
8,44,C0G900,2021/12/12 3:00
6.6,9,C0A940,2021/12/12 3:00
9.1,47,C0C620,2021/12/12 3:00
11,36,C0W130,2021/12/12 3:00
11.9,19,C0W170,2021/12/12 3:00
8.9,38,C0R670,2021/12/12 3:00
8.3,25,C0R620,2021/12/12 3:00
8.8,69,C0R680,2021/12/12 3:00
8.9,65,C0R730,2021/12/12 3:00
8.8,80,C0R740,2021/12/12 4:00
8.9,8,C0C590,2021/12/12 4:00
8.8,43,C0R670,2021/12/12 4:00
10.7,26,C0G900,2021/12/12 4:00
9.5,4,C0B020,2021/12/12 4:00
8.9,35,C0R620,2021/12/12 4:00
10.2,32,CM0120,2021/12/12 4:00
6.6,330,C0A940,2021/12/12 4:00
8.2,16,C0A920,2021/12/12 4:00
8.5,57,C0D650,2021/12/12 4:00
7.5,43,C0E540,2021/12/12 4:00
12.2,354,C0W170,2021/12/12 4:00
9.7,190,C0I520,2021/12/12 4:00
9.6,9,C0C620,2021/12/12 4:00
9.6,27,C0AD10,2021/12/12 4:00
8.5,111,C0R800,2021/12/12 4:00
